39.02夕霧	OH_OO渋谷源氏	4020	4060	I	苦しけれ	苦しい	クルシイ	形容詞-一般	文語形容詞-シク	已然形-一般	クルシケレ	和
39.02夕霧	OH_OO渋谷源氏	4060	4070	I	ば	ば	バ	助詞-接続助詞			バ	和
39.02夕霧	OH_OO渋谷源氏	4070	4080	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	4080	4090	B	「	「		補助記号-括弧開				記号
39.02夕霧	OH_OO渋谷源氏	4090	4120	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
39.02夕霧	OH_OO渋谷源氏	4120	4140	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
39.02夕霧	OH_OO渋谷源氏	4140	4150	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
39.02夕霧	OH_OO渋谷源氏	4150	4170	I	まま	侭	ママ	名詞-普通名詞-副詞可能			ママ	和
39.02夕霧	OH_OO渋谷源氏	4170	4180	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	4180	4210	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
39.02夕霧	OH_OO渋谷源氏	4210	4240	I	漏らさ	漏らす	モラス	動詞-一般	文語四段-サ行	未然形-一般	モラサ	和
39.02夕霧	OH_OO渋谷源氏	4240	4260	I	なむ	なむ	ナム	助詞-終助詞			ナン	和
39.02夕霧	OH_OO渋谷源氏	4260	4270	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	4270	4290	B	憂し	憂い	ウイ	形容詞-一般	文語形容詞-ク	終止形-一般	ウシ	和
39.02夕霧	OH_OO渋谷源氏	4290	4300	I	と	と	ト	助詞-格助詞			ト	和
39.02夕霧	OH_OO渋谷源氏	4300	4320	I	思す	思す	オボス	動詞-一般	文語四段-サ行	終止形-一般	オボス	和
39.02夕霧	OH_OO渋谷源氏	4320	4340	I	とも	とも	トモ	助詞-接続助詞			トモ	和
39.02夕霧	OH_OO渋谷源氏	4340	4370	I	いかが	如何	イカガ	副詞			イカガ	和
