49.07宿木	OH_OO渋谷源氏	3530	3540	I	と	と	ト	助詞-格助詞			ト	和
49.07宿木	OH_OO渋谷源氏	3540	3570	I	はべら	侍る	ハベル	動詞-非自立可能	文語ラ行変格	未然形-一般	ハベラ	和
49.07宿木	OH_OO渋谷源氏	3570	3580	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
49.07宿木	OH_OO渋谷源氏	3580	3600	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
49.07宿木	OH_OO渋谷源氏	3600	3610	I	に	に	ニ	助詞-格助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	3610	3620	I	も	も	モ	助詞-係助詞			モ	和
49.07宿木	OH_OO渋谷源氏	3620	3630	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	3630	3640	I	秋	秋	アキ	名詞-普通名詞-副詞可能			アキ	和
49.07宿木	OH_OO渋谷源氏	3640	3650	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	3650	3660	I	風	風	カゼ	名詞-普通名詞-一般			カゼ	和
49.07宿木	OH_OO渋谷源氏	3660	3670	I	は	は	ハ	助詞-係助詞			ワ	和
49.07宿木	OH_OO渋谷源氏	3670	3680	I	身	身	ミ	名詞-普通名詞-一般			ミ	和
49.07宿木	OH_OO渋谷源氏	3680	3690	I	に	に	ニ	助詞-格助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	3690	3710	I	しみ	染む	シム	動詞-一般	文語四段-マ行	連用形-一般	シミ	和
49.07宿木	OH_OO渋谷源氏	3710	3720	I	て	て	テ	助詞-接続助詞			テ	和
49.07宿木	OH_OO渋谷源氏	3720	3750	I	つらく	辛い	ツライ	形容詞-一般	文語形容詞-ク	連用形-一般	ツラク	和
49.07宿木	OH_OO渋谷源氏	3750	3780	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	連用形-一般	オボエ	和
49.07宿木	OH_OO渋谷源氏	3780	3810	I	はべり	侍る	ハベル	動詞-非自立可能	文語ラ行変格	連用形-一般	ハベリ	和
49.07宿木	OH_OO渋谷源氏	3810	3820	I	て	て	テ	助詞-接続助詞			テ	和
49.07宿木	OH_OO渋谷源氏	3820	3830	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	3830	3850	I	げに	実に	ゲニ	副詞			ゲニ	和
49.07宿木	OH_OO渋谷源氏	3850	3860	I	か	彼	カ	代名詞			カ	和
49.07宿木	OH_OO渋谷源氏	3860	3870	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	3870	3890	I	嘆か	嘆く	ナゲク	動詞-一般	文語四段-カ行	未然形-一般	ナゲカ	和
49.07宿木	OH_OO渋谷源氏	3890	3900	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
49.07宿木	OH_OO渋谷源氏	3900	3930	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
