05.02若紫	OH_OO渋谷源氏	3800	3830	I	尽くし	尽くす	ツクス	動詞-非自立可能	文語四段-サ行	連用形-一般	ツクシ	和
05.02若紫	OH_OO渋谷源氏	3830	3860	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
05.02若紫	OH_OO渋谷源氏	3860	3870	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
05.02若紫	OH_OO渋谷源氏	3870	3880	I	。	。		補助記号-句点				記号
05.02若紫	OH_OO渋谷源氏	3880	3910	B	くらぶ	クラブ	クラブ	名詞-固有名詞-地名-一般			クラブ	固
05.02若紫	OH_OO渋谷源氏	3910	3920	I	の	の	ノ	助詞-格助詞			ノ	和
05.02若紫	OH_OO渋谷源氏	3920	3930	I	山	山	ヤマ	名詞-普通名詞-一般			ヤマ	和
05.02若紫	OH_OO渋谷源氏	3930	3940	I	に	に	ニ	助詞-格助詞			ニ	和
05.02若紫	OH_OO渋谷源氏	3940	3960	I	宿り	宿る	ヤドル	動詞-一般	文語四段-ラ行	連用形-一般	ヤドリ	和
05.02若紫	OH_OO渋谷源氏	3960	3970	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	3970	3990	I	取ら	取る	トル	動詞-一般	文語四段-ラ行	未然形-一般	トラ	和
05.02若紫	OH_OO渋谷源氏	3990	4020	I	まほし	まほし	マホシ	助動詞	文語形容詞-シク	語幹-一般	マホシ	和
05.02若紫	OH_OO渋谷源氏	4020	4030	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
05.02若紫	OH_OO渋谷源氏	4030	4050	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
05.02若紫	OH_OO渋谷源氏	4050	4060	I	ど	ど	ド	助詞-接続助詞			ド	和
05.02若紫	OH_OO渋谷源氏	4060	4070	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	4070	4110	I	あやにく	生憎	アイニク	形状詞-一般			アヤニク	和
05.02若紫	OH_OO渋谷源氏	4110	4130	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
05.02若紫	OH_OO渋谷源氏	4130	4150	I	短夜	短夜	ミジカヨ	名詞-普通名詞-一般			ミジカヨ	和
05.02若紫	OH_OO渋谷源氏	4150	4160	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
05.02若紫	OH_OO渋谷源氏	4160	4170	I	て	て	テ	助詞-接続助詞			テ	和
05.02若紫	OH_OO渋谷源氏	4170	4180	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	4180	4230	I	あさましう	浅ましい	アサマシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	アサマシュー	和
05.02若紫	OH_OO渋谷源氏	4230	4240	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	4240	4280	I	なかなか	中々	ナカナカ	形状詞-一般			ナカナカ	和
05.02若紫	OH_OO渋谷源氏	4280	4300	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
05.02若紫	OH_OO渋谷源氏	4300	4310	I	。	。		補助記号-句点				記号
05.02若紫	OH_OO渋谷源氏	4310	4320	B	「	「		補助記号-括弧開				記号
05.02若紫	OH_OO渋谷源氏	4320	4330	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
05.02若紫	OH_OO渋谷源氏	4330	4340	I	て	て	テ	助詞-接続助詞			テ	和
05.02若紫	OH_OO渋谷源氏	4340	4350	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	4350	4370	I	また	又	マタ	副詞			マタ	和
05.02若紫	OH_OO渋谷源氏	4370	4390	I	逢ふ	会う	アウ	動詞-一般	文語四段-ハ行	連体形-一般	アウ	和
05.02若紫	OH_OO渋谷源氏	4390	4400	I	夜	夜	ヨ	名詞-普通名詞-一般			ヨ	和
05.02若紫	OH_OO渋谷源氏	4400	4420	I	まれ	稀	マレ	形状詞-一般			マレ	和
05.02若紫	OH_OO渋谷源氏	4420	4440	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
05.02若紫	OH_OO渋谷源氏	4440	4450	I	夢	夢	ユメ	名詞-普通名詞-一般			ユメ	和
05.02若紫	OH_OO渋谷源氏	4450	4460	I	の	の	ノ	助詞-格助詞			ノ	和
05.02若紫	OH_OO渋谷源氏	4460	4480	I	うち	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
